Date,Sent Amount,Sent Currency,Received Amount,Received Currency,Fee Amount,Fee Currency,Net Worth Amount,Net Worth Currency,Label,Description,TxHash
2021-10-20 17:09:34 UTC,,,210.6444248774,TEDDY,,AVAX,,,,,0x4e5039e7f5ab52c98b40558d853dc5d68461749aa34b59031b4f854c2c608e42
2021-10-20 17:10:07 UTC,14.47893876589,AVAX,,,0.003134,AVAX,,,,,0x43b0a31b2ce22fec6e60e53be59791a5764c0d626c0750c8004dd45cce851fb6
2021-10-20 17:10:07 UTC,,,302.8724753723,JOE,,AVAX,,,,,0x43b0a31b2ce22fec6e60e53be59791a5764c0d626c0750c8004dd45cce851fb6
2021-10-20 19:40:25 UTC,100.0000000000,TEDDY,,,0.00130115,AVAX,,,,,0x6958c5def2d7da117137dac77de817890f74f6b67c841d23f3f55630fa4e2a40
2021-10-20 19:41:18 UTC,200.0000000000,JOE,,,0.001293925,AVAX,,,,,0xf433720f5e8f47e22956934962b0a1f313c54121c0151914ce5eb56162f01ac3
2021-10-20 19:41:50 UTC,1006.975811381,JOE,,,0.000867025000,AVAX,,,,,0x3f0424a7dbcc630419410b872d23f298adc46c00db2cd7b13d9e7bd5d27c46cb
2021-10-20 19:43:02 UTC,1400.0,TEDDY,,,0.00087365,AVAX,,,,,0x80871a66481cdea443ba367f1af2357624d80a1349d064f693db97d953eedc73
2021-10-21 00:40:21 UTC,,,24.36449281,AVAX,,AVAX,,,,,0xe444cab6c3e39295a3fcda7a67bd63906358a67c450ec79afe8967c11c63b927
2021-10-21 00:42:29 UTC,22.35702306,AVAX,,,0.00507415,AVAX,,,,,0xa46b8aa8da999ac1829db3e3a44b48c555bdf9b457e60a89327cb1c79e763398
2021-10-21 00:42:29 UTC,,,470.8600772357,JOE,,AVAX,,,,,0xa46b8aa8da999ac1829db3e3a44b48c555bdf9b457e60a89327cb1c79e763398
2021-10-21 00:42:59 UTC,,,414.3189957421,JOE,,AVAX,,,,,0xeea5feb8daa8bb1a458bb06c75556759c007e2475c36bb8492460152a6f75e1a
2021-10-21 00:42:59 UTC,470.8600772357,JOE,,,0.001948875,AVAX,,,,,0xeea5feb8daa8bb1a458bb06c75556759c007e2475c36bb8492460152a6f75e1a
2021-10-21 00:44:26 UTC,,,0.711891680815,JOE,,AVAX,,,,,0xc9a43d9814ad5b969ae2ace129e8084d65e66f55d59103b5813423c542dfa938
2021-10-21 00:44:26 UTC,414.3189957421,JOE,,,0.004695625,AVAX,,,,,0xc9a43d9814ad5b969ae2ace129e8084d65e66f55d59103b5813423c542dfa938
2021-10-21 10:36:33 UTC,,,38.42997795999,AVAX,,AVAX,,,,,0xba2fae9cf98e5c612bc2a122b25a0e14827d17c1df9b31497c14d204e965a84b
2021-10-21 10:37:50 UTC,10.75,AVAX,,,0.003134,AVAX,,,,,0x61494294a4d1516ed959ed0fc1dc95e6e3d7d54fb60c60eec49742a25e8d2ef8
2021-10-21 10:37:50 UTC,,,202.2273748895,JOE,,AVAX,,,,,0x61494294a4d1516ed959ed0fc1dc95e6e3d7d54fb60c60eec49742a25e8d2ef8
2021-10-21 10:39:19 UTC,17.31000000000,AVAX,,,0.003141775000,AVAX,,,,,0x3fd236340ab720ab195273c8e1a37faf0748922801960fa661316476845d32f9
2021-10-21 10:39:19 UTC,,,1500.789039485,TEDDY,,AVAX,,,,,0x3fd236340ab720ab195273c8e1a37faf0748922801960fa661316476845d32f9
2021-10-21 11:30:33 UTC,11.756,AVAX,,,0.003134,AVAX,,,,,0x8cd93382b340bbf1ab1a70bcce744c123dab17a9213530564127021306057bb3
2021-10-21 11:30:33 UTC,,,239.1615608476,JOE,,AVAX,,,,,0x8cd93382b340bbf1ab1a70bcce744c123dab17a9213530564127021306057bb3
2021-10-21 11:35:20 UTC,,,15.91849729,AVAX,,AVAX,,,,,0x0f7b1806c797a782aeaab76731755ea064c3482cc15b0e2f0ae50512e09a6c63
2021-10-21 11:40:54 UTC,1.0,AVAX,,,0.004028273194,AVAX,,,,,0x17dc4ad0ce503d434c94212c0d70a80c2cb04563c6abb2dc5d2cb6c444a1cfa9
2021-10-21 11:40:54 UTC,,,62.572548,USDC,,AVAX,,,,,0x17dc4ad0ce503d434c94212c0d70a80c2cb04563c6abb2dc5d2cb6c444a1cfa9
2021-10-21 11:42:52 UTC,62.572548,USDC,,,0.007777126113,AVAX,,,,,0x2f7c744d5cd499f083b127c99895d24bb4c07a10a0c38b8235672f32dcf50589
2021-10-21 11:42:52 UTC,,,3119.77096798,USDC,,AVAX,,,,,0x2f7c744d5cd499f083b127c99895d24bb4c07a10a0c38b8235672f32dcf50589
2021-10-21 11:52:39 UTC,14.68000000000,AVAX,,,0.003389727423,AVAX,,,,,0x961d2f5014deebff44fab924c4470ee85514dccd4d8020862d0b0948d84a143f
2021-10-21 11:52:39 UTC,,,299.9043500623,JOE,,AVAX,,,,,0x961d2f5014deebff44fab924c4470ee85514dccd4d8020862d0b0948d84a143f
2021-10-21 11:53:27 UTC,,,652.3855573611,JOE,,AVAX,,,,,0x18a036eaa7113af85497c41d75b01e9151329fedd577f2d18733b1c1e49ddd27
2021-10-21 11:53:27 UTC,742.0051774803,JOE,,,0.001948875,AVAX,,,,,0x18a036eaa7113af85497c41d75b01e9151329fedd577f2d18733b1c1e49ddd27
2021-10-21 11:54:35 UTC,,,0.577903858322,JOE,,AVAX,,,,,0x36cf658cad434cf9ae28fa40274b804e48aefb021971d845752fbeff8e8600f9
2021-10-21 11:54:35 UTC,652.3855573611,JOE,,,0.00271585,AVAX,,,,,0x36cf658cad434cf9ae28fa40274b804e48aefb021971d845752fbeff8e8600f9
2021-10-21 12:35:06 UTC,,,13.40565933,AVAX,,AVAX,,,,,0x30d11af2d74dfdf2c02ca0a646f298fabff823dcc669719141b34cd4d638063a
2021-10-21 12:50:14 UTC,3.0,AVAX,,,0.008845575000,AVAX,,,,,0x0d72ccefb9100478d53ff92aec858c29df8b65b0cf53d2068bcb6c8a4b748ddf
2021-10-21 12:50:14 UTC,,,92.06675,MIM,,AVAX,,,,,0x0d72ccefb9100478d53ff92aec858c29df8b65b0cf53d2068bcb6c8a4b748ddf
2021-10-21 18:05:29 UTC,9.760000000000,AVAX,,,0.003134,AVAX,,,,,0xdc3134aef11379dc1659c5f3de86c1a4b47212057065480981a20fbceb60c5a2
2021-10-21 18:05:29 UTC,,,200.0138425613,JOE,,AVAX,,,,,0xdc3134aef11379dc1659c5f3de86c1a4b47212057065480981a20fbceb60c5a2
2021-10-21 20:34:19 UTC,1.0,AVAX,,,0.007908025,AVAX,,,,,0x789240de56f6d46094a0a7ab51acf93228b8f99d513581ddf780fa2b13c4870c
2021-10-21 20:34:19 UTC,,,1.0,AVAX,,AVAX,,,,,0x789240de56f6d46094a0a7ab51acf93228b8f99d513581ddf780fa2b13c4870c
2021-10-21 20:37:22 UTC,,,0.5,AVAX,,AVAX,,,,,0xe9d95691a656b9176bd0f0dae619db43fab28a54e944bcf4d1fe6214d767f50d
2021-10-21 20:40:22 UTC,0.501250325124,AVAX,,,0.00852865,AVAX,,,,,0x730a3d3222d1126c9fd67d4c991bca1088c21b8553726d4c7e63b344fb6dc6e7
2021-10-21 20:40:22 UTC,0.500000351661,AVAX,,,0.00852865,AVAX,,,,,0x730a3d3222d1126c9fd67d4c991bca1088c21b8553726d4c7e63b344fb6dc6e7
2021-10-21 20:41:26 UTC,,,0.25,AVAX,,AVAX,,,,,0xe3f3cc330742b100e267778a072048451424386f99b13aa1a7e6d018382317b8
2021-10-22 11:47:52 UTC,,,28.37686601,AVAX,,AVAX,,,,,0x9fb813094d6bfe0445f186d59fb91d8383a811489d839f107b30e01eefebcdeb
2021-10-22 11:48:42 UTC,27.90000000000,AVAX,,,0.003134,AVAX,,,,,0xff014a13c4930cfcbcad929263b44a8b0a7eaf712dcaa861a69d3a3bb91f9844
2021-10-22 11:48:42 UTC,,,600.1415309502,JOE,,AVAX,,,,,0xff014a13c4930cfcbcad929263b44a8b0a7eaf712dcaa861a69d3a3bb91f9844
2021-10-23 09:31:04 UTC,5006.238180867,TEDDY,,,0.003552950000,AVAX,,,,,0x525f2316e8cf7ec22892e414aa145a5f9e30f7d24a1360cd24c5ceb1538f57a6
2021-10-23 18:46:17 UTC,92.06675,MIM,,,0.0040359,AVAX,,,,,0x4a4ebb0a5c949b7adb57a6a7f747a529170d3d370e3d70e169cd86e805c03246
